date,CPALTT01GBQ659N
1980-01-01,19.08409
1980-04-01,21.54841
1980-07-01,16.35892
1980-10-01,15.27992
2005-01-01,1.8
2005-04-01,1.9
2005-07-01,2.4
2005-10-01,2.2
2006-01-01,2.1
2006-04-01,2.4
2006-07-01,2.5
2006-10-01,2.7
2007-01-01,2.8
2007-04-01,2.6
2007-07-01,2.0
2007-10-01,2.3
2008-01-01,2.5
2008-04-01,3.3
2008-07-01,4.5
2008-10-01,3.7
2009-01-01,2.9
2009-04-01,2.0
2009-07-01,1.4
2009-10-01,1.6
2010-01-01,2.4
2010-04-01,2.5
2010-07-01,2.3
2010-10-01,2.7
2011-01-01,3.5
2011-04-01,3.8
2011-07-01,4.0
2011-10-01,4.0
2012-01-01,3.1
2012-04-01,2.5
2012-07-01,2.2
2012-10-01,2.4
2013-01-01,2.5
2013-04-01,2.4
2013-07-01,2.4
2013-10-01,1.9
2014-01-01,1.6
2014-04-01,1.6
2014-07-01,1.5
2014-10-01,1.1
2015-01-01,0.4
2015-04-01,0.3
2015-07-01,0.4
2015-10-01,0.4
2016-01-01,0.7
2016-04-01,0.7
2016-07-01,1.0
2016-10-01,1.5
2017-01-01,2.2
2017-04-01,2.6
2017-07-01,2.7
2017-10-01,2.8
2018-01-01,2.5
2018-04-01,2.2
2018-07-01,2.3
2018-10-01,2.1
2019-01-01,1.8
2019-04-01,2.0
2019-07-01,1.8
2019-10-01,1.4
2020-01-01,1.7
2020-04-01,0.8
2020-07-01,0.8
2020-10-01,0.8
2021-01-01,0.9
2021-04-01,2.1
2021-07-01,2.7
2021-10-01,4.4
2022-01-01,5.5
2022-04-01,7.9
2022-07-01,8.7
2022-10-01,9.4
2023-01-01,9.0
2023-04-01,7.7
2023-07-01,6.3
2023-10-01,4.4
2024-01-01,3.9
2024-04-01,2.9
2024-07-01,2.9
2024-10-01,3.4
2025-01-01,3.6
2025-04-01,3.5
2025-07-01,3.6
2025-10-01,3.5
2026-01-01,3.2
