date,CDSP
2005-01-01,7.303833
2005-04-01,7.239296
2005-07-01,7.258264
2005-10-01,7.306876
2006-01-01,7.090829
2006-04-01,6.93645
2006-07-01,7.028664
2006-10-01,7.052577
2007-01-01,6.978163
2007-04-01,6.916833
2007-07-01,6.859151
2007-10-01,6.894569
2008-01-01,6.864136
2008-04-01,6.702785
2008-07-01,6.788641
2008-10-01,6.895996
2009-01-01,6.861352
2009-04-01,6.70505
2009-07-01,6.679269
2009-10-01,6.597484
2010-01-01,6.375334
2010-04-01,6.139001
2010-07-01,6.069181
2010-10-01,6.012881
2011-01-01,5.808322
2011-04-01,5.680167
2011-07-01,5.738914
2011-10-01,5.694596
2012-01-01,5.431999
2012-04-01,5.353789
2012-07-01,5.461713
2012-10-01,5.34876
2013-01-01,5.486141
2013-04-01,5.388403
2013-07-01,5.465768
2013-10-01,5.581301
2014-01-01,5.501082
2014-04-01,5.398777
2014-07-01,5.41658
2014-10-01,5.485705
2015-01-01,5.440567
2015-04-01,5.462149
2015-07-01,5.552797
2015-10-01,5.712101
2016-01-01,5.672489
2016-04-01,5.698569
2016-07-01,5.77874
2016-10-01,5.880502
2017-01-01,5.744385
2017-04-01,5.787649
2017-07-01,5.841407
2017-10-01,5.873756
2018-01-01,5.720556
2018-04-01,5.714119
2018-07-01,5.706194
2018-10-01,5.751042
2019-01-01,5.658215
2019-04-01,5.693626
2019-07-01,5.749423
2019-10-01,5.809335
2020-01-01,5.675003
2020-04-01,4.711485
2020-07-01,4.841462
2020-10-01,4.98942
2021-01-01,4.290047
2021-04-01,4.641932
2021-07-01,4.71616
2021-10-01,4.799247
2022-01-01,4.844083
2022-04-01,4.991675
2022-07-01,4.989056
2022-10-01,5.113313
2023-01-01,4.985661
2023-04-01,5.036824
2023-07-01,5.131606
2023-10-01,5.460111
2024-01-01,5.396335
2024-04-01,5.318408
2024-07-01,5.394534
2024-10-01,5.433013
2025-01-01,5.343481
2025-04-01,5.298177
2025-07-01,5.369278
2025-10-01,5.400247
